,source,destination,dist_capacity,dist_cost_capital,dist_cost_fixed,dist_cost_variable,dist_flowLimit,dist_h
298,centerville_dist_pipelineLowPurity,dallas_dist_pipelineLowPurity,0.0,253440000.0,34721.28,21.12,999999.0,0.0
299,centerville_dist_pipelineLowPurity,houston_dist_pipelineLowPurity,0.0,220800000.0,30249.600000000002,18.400000000000002,999999.0,0.0
300,centerville_dist_truckCompressed,centerville_converter_fuelDispenserGas,,,,,,0.0
301,centerville_dist_truckCompressed,centerville_demand_highPurity,0.0,,,,99999999.9,0.0
302,centerville_dist_truckCompressed,centerville_demand_lowPurity,0.0,,,,99999999.9,0.0
303,centerville_dist_truckCompressed,dallas_dist_truckCompressed,,,,1600.896,,0.0
304,centerville_dist_truckCompressed,houston_dist_truckCompressed,,,,1394.72,,0.0
305,centerville_dist_truckLiquefied,centerville_converter_fuelDispenserLiquid,,,,,,20.0
306,centerville_dist_truckLiquefied,centerville_demand_highPurity,0.0,,,,99999999.9,0.0
307,centerville_dist_truckLiquefied,centerville_demand_lowPurity,0.0,,,,99999999.9,0.0
308,centerville_dist_truckLiquefied,dallas_dist_truckLiquefied,,,,107.71199999999999,,160.0
