import time: self [us] | cumulative | imported package
import time:       648 |        648 |       pyomo.core.kernel.sos
import time:       840 |        840 |       pyomo.core.kernel.suffix
import time:       766 |        766 |       pyomo.core.kernel.block
import time:       681 |        681 |         pyomo.core.kernel.piecewise_library.util
import time:       800 |        800 |         pyomo.core.kernel.piecewise_library.transforms
import time:       701 |        701 |         pyomo.core.kernel.piecewise_library.transforms_nd
import time:       595 |       2777 |       pyomo.core.kernel.piecewise_library
import time:       813 |      14863 |     pyomo.core.kernel
import time:       996 |        996 |       backports_abc
import time:       977 |        977 |           pyomo.core.base.config
import time:      2677 |       2677 |             typing
import time:       471 |        471 |               pyomo.common.sorting
import time:       606 |       1076 |             pyomo.common.formatting
import time:       911 |        911 |               pyomo.core.base.component_namer
import time:       625 |        625 |               pyomo.core.base.global_set
import time:       808 |       2342 |             pyomo.core.base.component
import time:       661 |        661 |               pyomo.core.base.indexed_component_slice
import time:       692 |        692 |               pyomo.core.base.initializer
import time:       927 |       2279 |             pyomo.core.base.indexed_component
import time:       593 |        593 |             pyomo.core.base.misc
import time:       555 |        555 |             pyomo.core.base.numvalue
import time:       791 |      10310 |           pyomo.core.base.expression
import time:       551 |        551 |                   pyomo.core.base.disable_methods
import time:       653 |        653 |                   pyomo.core.base.range
import time:     10268 |      11471 |                 pyomo.core.base.set
import time:       566 |        566 |                 pyomo.core.base.util
import time:       749 |      12785 |               pyomo.core.base.reference
import time:      1134 |      13919 |             pyomo.core.base.componentuid
import time:       951 |      14870 |           pyomo.core.base.label
import time:       622 |        622 |           pyomo.core.base.action
import time:       644 |        644 |           pyomo.core.base.check
import time:       933 |        933 |             pyomo.core.base.units_container
import time:      1195 |       2128 |           pyomo.core.base.param
import time:      3136 |       3136 |           pyomo.core.base.var
import time:       908 |        908 |           pyomo.core.base.boolean_var
import time:      1584 |       1584 |           pyomo.core.base.constraint
import time:       898 |        898 |           pyomo.core.base.logical_constraint
import time:       864 |        864 |           pyomo.core.base.objective
import time:       599 |        599 |             pyomo.core.base.transformation
import time:       773 |       1372 |           pyomo.core.base.connector
